Nom,Rareté,Élément,Arme,Région
Albedo,5,Geo,Épée,Mondstadt
Alhaitham,5,Dendro,Épée,Sumeru
Aloy,5,Cryo,Arc,Inconnu
Amber,4,Pyro,Arc,Mondstadt
Arataki Itto,5,Geo,Claymore,Inazuma
Arlecchino,5,Pyro,Lance,Snezhnaya
Aventurine,5,Geo,Épée,Inconnu
Baizhu,5,Dendro,Catalyseur,Liyue
Barbara,4,Hydro,Catalyseur,Mondstadt
Beidou,4,Electro,Claymore,Liyue
Bennett,4,Pyro,Épée,Mondstadt
Candace,4,Hydro,Lance,Sumeru
Charlotte,4,Cryo,Catalyseur,Fontaine
Chasca,5,Anemo,Arc,Natlan
Chevreuse,4,Pyro,Lance,Fontaine
Chiori,5,Geo,Épée,Inazuma
Chongyun,4,Cryo,Claymore,Liyue
Citlali,5,Cryo,Catalyseur,Natlan
Clorinde,5,Electro,Épée,Fontaine
Collei,4,Dendro,Arc,Sumeru
Cyno,5,Electro,Lance,Sumeru
Dahlia,4,Hydro,Catalyseur,Mondstadt
Dehya,5,Pyro,Claymore,Sumeru
Diluc,5,Pyro,Claymore,Mondstadt
Diona,4,Cryo,Arc,Mondstadt
Dori,4,Electro,Claymore,Sumeru
Durin,5,Adapte,Épée,Mondstadt
Emilie,5,Dendro,Lance,Fontaine
Escoffier,5,Cryo,Épée,Fontaine
Eula,5,Cryo,Claymore,Mondstadt
Faruzan,4,Anemo,Arc,Sumeru
Fischl,4,Electro,Arc,Mondstadt
Flins,5,Pyro,Claymore,Natlan
Freminet,4,Cryo,Claymore,Fontaine
Furina,5,Hydro,Épée,Fontaine
Gaming,4,Pyro,Claymore,Liyue
Ganyu,5,Cryo,Arc,Liyue
Gorou,4,Geo,Arc,Inazuma
Hu Tao,5,Pyro,Lance,Liyue
Ifa,4,Dendro,Arc,Natlan
Ineffa,5,Dendro,Lance,Natlan
Iansan,4,Pyro,Catalyseur,Natlan
Jean,5,Anemo,Épée,Mondstadt
Kachina,4,Geo,Lance,Natlan
Kaedehara Kazuha,5,Anemo,Épée,Inazuma
Kaeya,4,Cryo,Épée,Mondstadt
Kamisato Ayaka,5,Cryo,Épée,Inazuma
Kamisato Ayato,5,Hydro,Épée,Inazuma
Kaveh,4,Dendro,Claymore,Sumeru
Keqing,5,Electro,Épée,Liyue
Kinich,5,Dendro,Claymore,Natlan
Kirara,4,Dendro,Épée,Inazuma
Klee,5,Pyro,Catalyseur,Mondstadt
Kujou Sara,4,Electro,Arc,Inazuma
Kuki Shinobu,4,Electro,Épée,Inazuma
Lan Yan,4,Anemo,Catalyseur,Liyue
Lauma,5,Dendro,Épée,Nod-Krai
Layla,4,Cryo,Épée,Sumeru
Lisa,4,Electro,Catalyseur,Mondstadt
Linnea,5,Hydro,Arc,Fontaine
Lohen,5,Pyro,Lance,Mondstadt
Lynette,4,Anemo,Épée,Fontaine
Lyney,5,Pyro,Arc,Fontaine
Mavuika,5,Pyro,Claymore,Natlan
Mika,4,Cryo,Lance,Mondstadt
Mona,5,Hydro,Catalyseur,Mondstadt
Mualani,5,Hydro,Catalyseur,Natlan
Nahida,5,Dendro,Catalyseur,Sumeru
Navia,5,Geo,Claymore,Fontaine
Neuvillette,5,Hydro,Catalyseur,Fontaine
Nicole,5,Anemo,Catalyseur,Mondstadt
Nilou,5,Hydro,Épée,Sumeru
Ningguang,4,Geo,Catalyseur,Liyue
Noelle,4,Geo,Claymore,Mondstadt
Odette,5,Hydro,Épée,Fontaine
Ororon,4,Electro,Arc,Natlan
Prune,4,Dendro,Claymore,Mondstadt
Qiqi,5,Cryo,Épée,Liyue
Raiden Shogun,5,Electro,Lance,Inazuma
Razor,4,Electro,Claymore,Mondstadt
Rosaria,4,Cryo,Lance,Mondstadt
Sandrone,5,Geo,Catalyseur,Fontaine
Sangonomiya Kokomi,5,Hydro,Catalyseur,Inazuma
Sayu,4,Anemo,Claymore,Inazuma
Sethos,4,Electro,Arc,Sumeru
Shenhe,5,Cryo,Lance,Liyue
Shikanoin Heizou,4,Anemo,Catalyseur,Inazuma
Sigewinne,5,Hydro,Arc,Fontaine
Skirk,5,Cryo,Épée,Inconnu
Sucrose,4,Anemo,Catalyseur,Mondstadt
Tartaglia,5,Hydro,Arc,Snezhnaya
Thoma,4,Pyro,Lance,Inazuma
Tighnari,5,Dendro,Arc,Sumeru
Varesa,5,Anemo,Lance,Mondstadt
Varka,5,Cryo,Claymore,Mondstadt
Venti,5,Anemo,Arc,Mondstadt
Voyageur (Aether),5,Multi,Épée,Inconnu
Voyageuse (Lumine),5,Multi,Épée,Inconnu
Wanderer,5,Anemo,Catalyseur,Sumeru
Wriothesley,5,Cryo,Catalyseur,Fontaine
Xiangling,4,Pyro,Lance,Liyue
Xianyun,5,Anemo,Catalyseur,Liyue
Xiao,5,Anemo,Lance,Liyue
Xilonen,5,Geo,Épée,Natlan
Xingqiu,4,Hydro,Épée,Liyue
Xinyan,4,Pyro,Claymore,Liyue
Yae Miko,5,Electro,Catalyseur,Inazuma
Yanfei,4,Pyro,Catalyseur,Liyue
Yaoyao,4,Dendro,Lance,Liyue
Yelan,5,Hydro,Arc,Liyue
Yoimiya,5,Pyro,Arc,Inazuma
Yumemizuki Mizuki,5,Anemo,Épée,Inazuma
Yun Jin,4,Geo,Lance,Liyue
Zhongli,5,Geo,Lance,Liyue
Zibai,4,Dendro,Lance,Liyue
